Question	Answer
Czy możesz mnie o coś zapytać?	Nie, w porządku.
Możesz zapytać mnie o mnie?	Nie, w porządku.
Możesz mnie o coś zapytać?	Nie, w porządku.
Możesz mnie o coś zapytać?	Nie, w porządku.
Możesz mnie o coś zapytać?	Nie, w porządku.
Czy możesz o mnie zapytać?	Nie, w porządku.
Czy możesz mnie zapytać, dlaczego tu jestem?	Nie, w porządku.
Możesz o coś zapytać?	Nie, w porządku.
Zapytaj mnie o coś	Nie, w porządku.
Zapytaj mnie o cokolwiek	Nie, w porządku.
Zapytaj mnie o coś	Nie, w porządku.
Zapytaj mnie o cokolwiek	Nie, w porządku.
Zadaj mi pytanie	Nie, w porządku.
Czy możesz zadać mi pytanie?	Nie, w porządku.
Chcesz mnie o coś zapytać?	Nie, w porządku.
O czym chcesz, żebym ci opowiedział?	Nie, w porządku.
Nie chcesz wiedzieć o mnie?	Nie, w porządku.
Nie chcesz mnie o coś zapytać?	Nie, w porządku.
Nie chcesz mnie o nic pytać	Nie, w porządku.
Nie chcesz o mnie nic pytać?	Nie, w porządku.
Możesz zapytać mnie o mnie?	Nie, w porządku.
Chcesz się mnie o coś zapytać?	Nie, w porządku.
Może o coś zapytasz?	Nie, w porządku.
Chcesz, żebym ci coś powiedział?	Nie, w porządku.
Mógłbyś mnie o coś zapytać?	Nie, w porządku.
Mógłbyś mnie o coś zapytać?	Nie, w porządku.
Możesz zapytać coś o mnie?	Nie, w porządku.
Możesz o mnie zapytać?	Nie, w porządku.
Możesz o coś zapytać?	Nie, w porządku.
Chcesz coś o mnie wiedzieć?	Nie, w porządku.
Masz jakieś pytania o mnie?	Nie, w porządku.
Czy mógłbyś mnie o coś zapytać	Nie, w porządku.
Masz do mnie jakieś pytania?	Nie, w porządku.
Chcesz mnie o coś zapytać?	Nie, w porządku.
Po prostu zadaj mi pytanie	Nie, w porządku.
Czy mogę ci coś o sobie powiedzieć?	Nie, w porządku.
O co chcesz mnie zapytać?	Nie, w porządku.
Jakie masz do mnie pytania?	Nie, w porządku.
Jakie mam pytania?	Nie, w porządku.
Masz jakieś pytania do mnie?	Nie, w porządku.
Czy zapytałbyś coś o mnie	Nie, w porządku.
Chciałbyś zapytać o mnie coś	Nie, w porządku.
Chciałbyś o coś zapytać	Nie, w porządku.
Czy zapytałbyś mnie o coś o mnie	Nie, w porządku.
Czego chcesz, żebym cię nauczył, kim jestem	Nie, w porządku.
Co chcesz o mnie wiedzieć?	Nie, w porządku.
Dlaczego nie zadasz mi pytań?	Nie, w porządku.
Chcę, żebyś zadawał mi pytania	Nie, w porządku.
Chcę, żebyś zapytał o mnie	Nie, w porządku.
Chcę, żebyś zadał mi pytanie	Nie, w porządku.
Co chcesz o mnie wiedzieć?	Nie, w porządku.
Czy możesz zadawać pytania?	Nie, w porządku.
Masz do mnie jakieś pytania?	Nie, w porządku.
Dlaczego o nic mnie nie zapytasz?	Nie, w porządku.
Czy zapytałbyś mnie o coś o mnie	Nie, w porządku.
Dlaczego nigdy nie zadasz mi pytań?	Nie, w porządku.
Teraz twoja kolej, aby zadawać pytania	Nie, w porządku.
A może zadasz mi pytania?	Nie, w porządku.
Chcesz dowiedzieć się o mnie więcej?	Nie, w porządku.
Chcesz zadać jakieś pytania na mój temat?	Nie, w porządku.
Masz do mnie jakieś pytania?	Nie, w porządku.
Może o coś zapytasz?	Nie, w porządku.
Czego chcesz się o mnie dowiedzieć	Nie, w porządku.
Czy mógłbyś zapytać mnie o coś o mnie	Nie, w porządku.
Dlaczego muszę zadawać wszystkie pytania?	Nie, w porządku.
Dlaczego tylko ja zadaję pytania?	Nie, w porządku.
Czego chciałbyś się o mnie dowiedzieć	Nie, w porządku.
Czego chciałbyś się dowiedzieć	Nie, w porządku.
Zapytasz o mnie cokolwiek	Nie, w porządku.
O czym chciałbyś wiedzieć	Nie, w porządku.
Zapytasz o mnie coś	Nie, w porządku.
Czego chcesz się dowiedzieć	Nie, w porządku.
Co chcesz o mnie wiedzieć	Nie, w porządku.
O czym chcesz wiedzieć	Nie, w porządku.
O co chcesz mnie zapytać?	Nie, w porządku.
Co chcesz, żebym ci powiedział, kim jestem?	Nie, w porządku.
Zadawaj mi pytania	Nie, w porządku.
Co chciałbyś o mnie wiedzieć	Nie, w porządku.
Zapytasz o coś	Nie, w porządku.
Czy zapytałbyś mnie o cokolwiek o mnie	Nie, w porządku.
Czy mógłbyś mnie o cokolwiek zapytać	Nie, w porządku.
Czy zapytałbyś o mnie coś	Nie, w porządku.
Czy mógłbyś zapytać o mnie cokolwiek	Nie, w porządku.
Chciałbyś o coś zapytać	Nie, w porządku.
Zapytasz o cokolwiek	Nie, w porządku.
Zapytasz coś o mnie	Nie, w porządku.
Co mam ci powiedzieć o sobie?	Nie, w porządku.
Zapytasz mnie o coś o mnie	Nie, w porządku.
Zapytasz mnie o coś o mnie	Nie, w porządku.
Zapytasz mnie o coś	Nie, w porządku.
Zapytasz mnie o coś o mnie	Nie, w porządku.
Zapytasz mnie o cokolwiek o mnie	Nie, w porządku.
Zapytasz mnie o cokolwiek	Nie, w porządku.
Zapytasz coś o mnie	Nie, w porządku.
Proszę zapytać o mnie	Nie, w porządku.
Czy mogę ci coś o sobie powiedzieć?	Nie, w porządku.
Czy jest coś, co mogę ci powiedzieć o tym, kim jestem?	Nie, w porządku.
Czy jest coś, co chcesz o mnie wiedzieć?	Nie, w porządku.
Chcesz się o mnie czegoś dowiedzieć?	Nie, w porządku.
Proszę o cokolwiek	Nie, w porządku.
Proszę zapytać o mnie	Nie, w porządku.
